id,name,reliability,source,url,reason
"elastic-man","Elastic Man","yellow","gn-math","https://3kh0.github.io/projects/elasticman/index.html","source_ok_proxy_unverified"
"evil-glitch","Evil Glitch","yellow","gn-math","https://3kh0.github.io/projects/evil-glitch/index.html","source_ok_proxy_unverified"
"five-nights-at-winstons-2","Five Nights At Winston's","yellow","gn-math","https://adfree-sz-games.github.io/Games10/fnaw/index.html","source_ok_proxy_unverified"
"fruit-ninja","Fruit Ninja","yellow","gn-math","https://adfree-sz-games.github.io/Games9/fruitninja/","source_ok_proxy_unverified"
"going-balls","Going Balls","yellow","gn-math","https://adfree-sz-games.github.io/Games8/goingballs","source_ok_proxy_unverified"
"google-baseball","Google Baseball","yellow","gn-math","https://adfree-sz-games.github.io/Games6/google-baseball","source_ok_proxy_unverified"
"google-feud","Google Feud","yellow","gn-math","https://mr-funkinguy.github.io/83/google-feud/index.html","source_ok_proxy_unverified"
"highway-racer","Highway Racer","yellow","gn-math","https://adfree-sz-games.github.io/Games6/hwy-rcer","source_ok_proxy_unverified"
"idle-breakout","Idle Breakout","yellow","gn-math","https://3kh0.github.io/projects/idle-breakout/index.html","source_ok_proxy_unverified"
"madalin-stunt-cars-3","Madalin Stunt Cars 3","yellow","gn-math","https://adfree-sz-games.github.io/Games2/madalin-stunt-cars-3","source_ok_proxy_unverified"
"money-rush","Money Rush","yellow","gn-math","https://adfree-sz-games.github.io/Games8/MONEYRUSH","source_ok_proxy_unverified"
"moto-x-3-m-2","Moto X 3 M 2","yellow","adfree-resurrection","https://adfree-sz-games.github.io/Games5/motox3m2","source_ok_proxy_unverified"
"moto-x-3-m-pool-party","Moto X 3 M Pool Party","yellow","adfree-resurrection","https://adfree-sz-games.github.io/Games5/motox3m-pool","source_ok_proxy_unverified"
"moto-x-3-m-winter","Moto X 3 M Winter","yellow","adfree-resurrection","https://adfree-sz-games.github.io/Games5/motox3m-winter","source_ok_proxy_unverified"
"papery-planes","Papery Planes","yellow","gn-math","https://3kh0.github.io/projects/papery-planes/index.html","source_ok_proxy_unverified"
"rolling-sky","Rolling Sky","yellow","gn-math","https://adfree-sz-games.github.io/Games6/webgl-rollingsky/","source_ok_proxy_unverified"
"rolly-vortex","Rolly Vortex","yellow","gn-math","https://3kh0.github.io/projects/rolly-vortex/index.html","source_ok_proxy_unverified"
"sandboxels","Sandboxels","yellow","gn-math","https://mr-funkinguy.github.io/sandboxels","source_ok_proxy_unverified"
"slope-2","Slope 2","yellow","gn-math","https://adfree-sz-games.github.io/Games2/slope-2","source_ok_proxy_unverified"
"sort-the-court","Sort The Court","yellow","gn-math","https://3kh0.github.io/projects/sort-the-court/index.html","source_ok_proxy_unverified"
"station-141","Station 141","yellow","gn-math","https://adfree-sz-games.github.io/Games5/station-141/","source_ok_proxy_unverified"
"tiny-fishing","Tiny Fishing","yellow","gn-math","https://adfree-sz-games.github.io/Games7/tiny-fishing","source_ok_proxy_unverified"
"vex-6","Vex 6","yellow","gn-math","https://3kh0.github.io/projects/vex6/index.html","source_ok_proxy_unverified"
"vex-7","Vex 7","yellow","adfree-resurrection","https://adfree-sz-games.github.io/Games7/vex3","source_ok_proxy_unverified"
"waterworks","Waterworks!","yellow","adfree-resurrection","https://adfree-sz-games.github.io/Games7/waterworks","source_ok_proxy_unverified"
